kind	path	bytes	status_guess
public_asset	frontend/public/assets/trfmc_instrument_design_system/trfmc_instrument_panels_v1.js	889	PROMOTE_CANDIDATE
public_asset	frontend/public/assets/trfmc_instrument_design_system/trfmc_instrument_tokens_v1.css	2818	PROMOTE_CANDIDATE
public_asset	frontend/public/assets/trfmc_instrument_design_system/trfmc_parametric_3d_engine_v1.js	9845	PROMOTE_CANDIDATE
public_asset	frontend/public/assets/trfmc_knowledge_modules_v61.css	4528	REVIEW
public_asset	frontend/public/assets/trfmc_knowledge_os_v60.css	4531	REVIEW
public_asset	frontend/public/assets/trfmc_knowledge_os_v60.js	246	REVIEW
public_asset	frontend/public/assets/trfmc_layout_proportions_repair_v51r4.css	8113	ARCHIVE_V51_PATCH_RESIDUE
public_asset	frontend/public/assets/trfmc_layout_proportions_repair_v51r4.js	2519	ARCHIVE_V51_PATCH_RESIDUE
public_asset	frontend/public/assets/trfmc_master_shell_v75.css	5753	REVIEW
public_asset	frontend/public/assets/trfmc_master_shell_v75.js	4505	REVIEW
public_asset	frontend/public/assets/trfmc_object_definition_surfaces_v70b.css	10226	REVIEW
public_asset	frontend/public/assets/trfmc_object_definition_surfaces_v70b.js	3508	REVIEW
public_asset	frontend/public/assets/trfmc_object_stack_governance_v79.css	5536	REVIEW
public_asset	frontend/public/assets/trfmc_object_stack_governance_v79.js	4581	REVIEW
public_asset	frontend/public/assets/trfmc_perfection_bridge/trfmc_perfection_bridge_v1.css	2513	REVIEW
public_asset	frontend/public/assets/trfmc_perfection_bridge/trfmc_perfection_bridge_v1.js	3659	REVIEW
public_asset	frontend/public/assets/trfmc_perfection_bridge/trfmc_perfection_bridge_v2.css	2691	REVIEW
public_asset	frontend/public/assets/trfmc_perfection_bridge/trfmc_perfection_bridge_v2.js	4541	REVIEW
public_asset	frontend/public/assets/trfmc_perfection_bridge/trfmc_perfection_bridge_v3.css	2886	REVIEW
public_asset	frontend/public/assets/trfmc_perfection_bridge/trfmc_perfection_bridge_v3.js	5629	REVIEW
public_asset	frontend/public/assets/trfmc_rf_propagation_sandbox_v62.css	7296	REVIEW
public_asset	frontend/public/assets/trfmc_rf_propagation_sandbox_v62.js	1595	REVIEW
public_asset	frontend/public/assets/trfmc_rf_propagation_visual_upgrade_v62b.css	6650	REVIEW
public_asset	frontend/public/assets/trfmc_rf_propagation_visual_upgrade_v62b.js	1120	REVIEW
public_asset	frontend/public/assets/trfmc_rf_pro_signal_intelligence/trfmc_rf_pro_signal_intelligence_shaders_v3.js	863	REVIEW
public_asset	frontend/public/assets/trfmc_rf_pro_signal_intelligence/trfmc_rf_pro_signal_intelligence_v1.css	3385	REVIEW
public_asset	frontend/public/assets/trfmc_rf_pro_signal_intelligence/trfmc_rf_pro_signal_intelligence_v1.js	11907	REVIEW
public_asset	frontend/public/assets/trfmc_rf_pro_signal_intelligence/trfmc_rf_pro_signal_intelligence_v2.css	3511	REVIEW
public_asset	frontend/public/assets/trfmc_rf_pro_signal_intelligence/trfmc_rf_pro_signal_intelligence_v2.js	13973	REVIEW
public_asset	frontend/public/assets/trfmc_rf_pro_signal_intelligence/trfmc_rf_pro_signal_intelligence_v3_reality.css	3924	REVIEW
public_asset	frontend/public/assets/trfmc_rf_pro_signal_intelligence/trfmc_rf_pro_signal_intelligence_v3_reality.js	16676	REVIEW
public_asset	frontend/public/assets/trfmc_rf_pro_signal_intelligence/trfmc_rf_pro_signal_intelligence_v4_instrument.css	4686	REVIEW
